SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390
5264,Actinopyga,Surf redfish,mauritiana,Surf redfish,Holothuriidae,0,0,0,0,0,0,0,0,0
825,Bohadschia,Leopard sea cucumber,argus,Leopard sea cucumber,Holothuroidae,0,0,0,0,0,0,0,0,0
828,Bohadschia,Leopard sea cucumber 2,argus,Leopard sea cucumber 2,Holothuroidae,0,0,0,0,0,0,0,0,0
820,Holothuria,Sea cucumber,atra,Sea cucumber,Holothuroidae,0,0,0,0,0,0,0,0,0
827,Holothuria,Sea cucumber (Loli 2),atra (cubed),Sea cucumber (Loli 2),Holothuroidae,0,0,0,0,0,0,0,0,0
824,Actinopyga,Surf redfish,mauritiana,Surf redfish,Holothuroidea,0,0,0,0,0,0,0,0,0
504,Panulirus,Spiny lobster,pencillatus,Spiny lobster,Homaridae,0,0,0,0,0,0,0,0,0
190,"Ictalurus, Clarias",Catfish (aqua & imp),"punctatus, spp.",Catfish (aqua & imp),"Ictaluridae, Clariid",0,0,0,0,0,0,0,0,0
409,Tetrapturus,Spearfish,angustirostris,Spearfish,Istiophoridae,0,0,0,0,0,0,0,0,0
403,Tetrapturus,Striped marlin,audax,Striped marlin,Istiophoridae,0,0,0,0,0,0,0,0,0
407,Makaira,Black marlin,indica,Black marlin,Istiophoridae,0,0,0,0,0,0,0,0,0
406,Makaira,Blue marlin,nigricans,Blue marlin,Istiophoridae,0,0,0,0,0,0,0,0,0
408,Istiophorus,Sailfish,platypterus,Sailfish,Istiophoridae,0,0,0,0,0,0,0,0,0
3631,Kuhlia,Barred flagtail,mugil,Barred flagtail,Kuhliidae,0,0,0,0,0,0,0,0,0
363,Kuhlia,Flagtails,spp.,Flagtails,Kuhliidae,0,0,0,0,0,0,0,0,0
720,Kuhlia,Mountain bass,spp.,Mountain bass,Kuhliidae,0,0,0,0,0,0,0,0,0
3033,Kyphosus,Rudderfish (biggibus),biggibus,Rudderfish (biggibus),Kyphosidae,0,0,0,0,0,0,0,0,0
303,Kyphosus,Rudderfish (cinerascens),cinerascens,Rudderfish (cinerascens),Kyphosidae,0,0,0,0,0,0,0,0,0
3032,Kyphosus,Western drummer,cornelii,Western drummer,Kyphosidae,0,0,0,0,0,0,0,0,0
3034,Kyphosus,Rudderfishes,spp,Rudderfishes,Kyphosidae,0,0,0,0,0,0,0,0,0
3031,Kyphosus,Lowfin drummer,vaigiensis,Lowfin drummer,Kyphosidae,0,0,0,0,0,0,0,0,0
3607,Xyrichtys,Whitepatch wrasse,aneitensis,Whitepatch wrasse,Labridae,0,0,0,0,0,0,0,0,0
3606,Oxycheilinus,Arenatus wrasse,arenatus,Arenatus wrasse,Labridae,0,0,0,0,0,0,0,0,0
5249,Cheilinus,Two-spotted wrasse,bimaculatus,Two-spotted wrasse,Labridae,0,0,0,0,0,0,0,0,0
3603,Cheilinus,Floral wrasse,chlorourus,Floral wrasse,Labridae,0,0,0,0,0,0,0,0,0
3605,Oxycheilinus,Bandcheck wrasse,diagrammus,Bandcheck wrasse,Labridae,0,0,0,0,0,0,0,0,0
3604,Cheilinus,Harlequin tuskfish,fasciatus,Harlequin tuskfish,Labridae,0,0,0,0,0,0,0,0,0
3610,Hemigymnus,Barred thicklip,fasciatus,Barred thicklip,Labridae,0,0,0,0,0,0,0,0,0
3859,Coris,Yellowtail Coris,gaimard,Yellowtail Coris,Labridae,0,0,0,0,0,0,0,0,0
